Date,sku_id,category,units sold,promotions,customers_visits,conversion_rate
2025-01-01,1072-071/OCEAN,End Tables,4,On Promotion,1193,0.0034
2025-01-02,1072-071/OCEAN,End Tables,2,On Promotion,680,0.0029
2025-01-03,1072-071/OCEAN,End Tables,1,On Promotion,287,0.0035
2025-01-04,1072-071/OCEAN,End Tables,2,On Promotion,546,0.0037
2025-01-05,1072-071/OCEAN,End Tables,0,On Promotion,731,0.0
2025-01-06,1072-071/OCEAN,End Tables,0,On Promotion,550,0.0
2025-01-07,1072-071/OCEAN,End Tables,3,On Promotion,649,0.0046
2025-01-08,1072-071/OCEAN,End Tables,2,On Promotion,455,0.0044
2025-01-09,1072-071/OCEAN,End Tables,1,On Promotion,190,0.0053
2025-01-10,1072-071/OCEAN,End Tables,3,On Promotion,1559,0.0019
2025-01-11,1072-071/OCEAN,End Tables,0,On Promotion,708,0.0
2025-01-12,1072-071/OCEAN,End Tables,0,On Promotion,675,0.0
2025-01-13,1072-071/OCEAN,End Tables,0,On Promotion,674,0.0
2025-01-14,1072-071/OCEAN,End Tables,0,On Promotion,764,0.0
2025-01-15,1072-071/OCEAN,End Tables,1,On Promotion,173,0.0058
2025-01-16,1072-071/OCEAN,End Tables,1,On Promotion,289,0.0035
2025-01-17,1072-071/OCEAN,End Tables,2,On Promotion,768,0.0026
2025-01-18,1072-071/OCEAN,End Tables,1,On Promotion,170,0.0059
2025-01-19,1072-071/OCEAN,End Tables,0,On Promotion,675,0.0
2025-01-20,1072-071/OCEAN,End Tables,2,On Promotion,645,0.0031
2025-01-21,1072-071/OCEAN,End Tables,1,On Promotion,267,0.0037
2025-01-22,1072-071/OCEAN,End Tables,0,On Promotion,938,0.0
2025-01-23,1072-071/OCEAN,End Tables,0,On Promotion,728,0.0
2025-01-24,1072-071/OCEAN,End Tables,1,On Promotion,253,0.004
2025-01-25,1072-071/OCEAN,End Tables,2,On Promotion,446,0.0045
2025-01-26,1072-071/OCEAN,End Tables,0,On Promotion,1008,0.0
2025-01-27,1072-071/OCEAN,End Tables,0,On Promotion,916,0.0
