model,sku_id,n_samples,mean_true,mean_pred,RMSE,MAE,MAPE,RMSLE
Linear Regression,216233,2072,45.46380308880309,52.95310867744277,23.60123212959405,15.929362701462596,51.899198450456154,0.4715915797158007
Linear Regression,216418,1904,86.97006302521008,86.37427189965929,36.47441664380674,26.09748096338917,48.752449572065466,0.46904933023452794
Linear Regression,216419,1876,62.72974413646055,68.59096165255967,25.953453191749198,18.81632542382597,47.702057066581915,0.47324904186799005
Linear Regression,216425,1848,34.765151515151516,43.92987945981084,26.18364562526946,17.771546738372074,118.83604598859957,0.7281146789946772
Linear Regression,217217,728,22.925824175824175,24.266479801037683,21.320040992159793,14.70133325218059,74.9717174021045,0.8917170671772418
Linear Regression,217390,1960,66.8576530612245,66.57212667851043,26.526633727847504,18.28347416391325,40.483697018676686,0.4026030760863356
Linear Regression,217777,560,25.7875,24.764898049655184,21.573429524867045,15.688652209923424,73.08720479697399,0.969195186726534
Linear Regression,219009,2100,90.93904761904761,89.32880362468875,35.88990300353223,22.786567630463647,28.3215691848816,0.3346153425180362
Linear Regression,219029,2044,45.8238747553816,45.858578014920894,32.633556006936814,16.538899884379767,44.158679675115266,0.46052616283551906
Linear Regression,219844,784,26.604591836734695,28.640260416685475,21.692032563543176,15.1647027746292,76.60397148579119,0.8325069960534421
Linear Regression,222087,2016,67.40376984126983,76.3685078594008,47.8292509134256,27.765370342697516,70.42082915581452,0.5734420858553976
Linear Regression,222765,1932,58.2851966873706,58.21289705171616,36.670692021241145,19.70998963651667,41.28953188898995,0.44040447199932486
Linear Regression,223153,1624,72.39901477832512,77.48237417768854,56.3999290566564,31.32459373826959,74.0729280818593,0.6237115618861889
Linear Regression,223245,2044,60.827788649706456,62.16979699237352,37.328251650623464,21.82044923567229,51.99217798212425,0.4966969467692646
Linear Regression,245338,1792,36.642299107142854,45.37745131501284,31.674173914031403,22.263372051694173,85.25212167871636,0.8518267072231747
Linear Regression,245387,1204,28.680232558139537,35.838336107743864,28.852634712388518,20.719663775351638,104.83878111138392,1.1860525934867414
Linear Regression,300021,1260,37.26904761904762,44.087547441361735,21.723057785007942,15.32765501586969,82.9977549550658,0.6261199772770581
Linear Regression,300291,252,17.273809523809526,27.188988822587557,29.49356016046335,19.643964723676948,200.87513826288682,1.4243312196762883
Linear Regression,320485,1204,32.08637873754153,42.35463446002288,26.350061083635136,16.118737962344472,68.31658739042129,0.5816476009872318
Linear Regression,327492,56,12.267857142857142,22.07491813468332,27.872860955435588,16.3130082955124,192.90683716803088,1.2356477351602015
Linear Regression,378934,980,24.13061224489796,35.4975001643722,28.10887937058784,16.737845262374112,91.7153963096997,0.6653566674880742
Linear Regression,398721,504,22.73015873015873,27.7486669939125,24.732975574193052,18.303238092181648,105.99862739533938,1.630660289197255
Linear Regression,545621,28,17.178571428571427,3.3401429386564776,16.10858307189138,14.666172440654503,85.70426071997382,2.0971868399522346
Linear Regression,546789,196,22.382653061224488,18.77178095327458,12.036251780556347,10.12461257771985,53.09828319035772,0.9486655037457883
Linear Regression,547934,868,19.09562211981567,20.889677693943035,13.272808757591914,8.964520965821661,71.7114923921685,0.6934509004174075
Linear Regression,600934,196,16.755102040816325,11.06546886211464,18.300271270667558,12.12888165881044,95.98417399428003,1.9080682306828463
Linear Regression,673209,56,22.857142857142858,8.889818367329088,17.415683695869994,15.513201452983171,87.57612500350683,1.7892087468932014
Linear Regression,679023,252,15.432539682539682,16.276209699672982,13.463082189438424,10.961577077332686,121.38612723581048,1.20622322239538
Random Forest,216233,2072,45.46380308880309,49.18181467181467,23.41068082807454,14.156679536679537,40.0061414977381,0.4003559714436348
